;individual;family;tribe;genus;subgenus;species;trait;value
63;A-0630;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;intertegularDistance;0,771
64;A-0630;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;proboscisLength;0,936
65;A-0631;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;intertegularDistance;0,748
66;A-0631;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;proboscisLength;0,877
67;A-0723;Apidae;Meliponini;Partamona;NA;Partamona nr peckolti;intertegularDistance;1,598
68;A-0723;Apidae;Meliponini;Partamona;NA;Partamona nr peckolti;proboscisLength;3,755
69;A-0771;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,144
70;A-0771;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,627
71;A-0772;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,167
72;A-0772;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,694
73;A-0773;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,221
74;A-0773;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,641
75;A-0774;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,148
76;A-0774;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,638
77;A-0775;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,177
78;A-0775;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,61
79;A-0776;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,133
80;A-0776;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,55
81;A-0777;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,205
82;A-0777;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,62
83;A-0778;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,137
