;individual;family;tribe;genus;subgenus;species;trait;value
269;K-0378;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,212
270;K-0378;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,648
271;K-0379;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,137
272;K-0379;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,688
273;K-0380;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,195
274;K-0380;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,839
275;K-0381;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,184
276;K-0381;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,907
277;K-0382;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,222
278;K-0382;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,698
279;K-0383;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,201
280;K-0383;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,632
281;K-0384;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,172
282;K-0384;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,557
283;K-0385;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,217
284;K-0385;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,646
285;K-0388;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,792
286;K-0388;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,314
287;K-0389;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,489
288;K-0389;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,19
289;K-0400;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,096
290;K-0400;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,881
291;K-0401;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,073
292;K-0401;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,808
293;K-0402;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,106
294;K-0402;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;3,276
295;K-0403;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,122
296;K-0403;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,806
297;K-0428;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;intertegularDistance;1,868
298;K-0428;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;proboscisLength;3,22
299;K-0429;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;intertegularDistance;1,879
300;K-0429;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;proboscisLength;3,211
301;K-0430;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,703
302;K-0430;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,457
303;K-0431;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,822
304;K-0431;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,353
305;K-0464;Apidae;Meliponini;Paratrigona;NA;Paratrigona opaca;intertegularDistance;1,338
306;K-0464;Apidae;Meliponini;Paratrigona;NA;Paratrigona opaca;proboscisLength;2,625
307;K-0466;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;intertegularDistance;1,706
308;K-0466;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;proboscisLength;2,525
309;K-0469;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;intertegularDistance;1,86
310;K-0469;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;proboscisLength;3,302
311;K-0470;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;intertegularDistance;1,997
312;K-0470;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona luteipennis;proboscisLength;3,338
313;K-0642;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,569
314;K-0642;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,119
315;K-0643;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,553
316;K-0643;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,207
317;K-0644;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,583
318;K-0644;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,114
319;K-0645;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,572
320;K-0645;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,082
321;K-0646;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,661
322;K-0646;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,129
323;K-0647;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,583
324;K-0647;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,021
325;K-0648;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,59
326;K-0648;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,115
327;K-0649;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,654
328;K-0649;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,092
329;K-0650;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;intertegularDistance;1,563
330;K-0650;Apidae;Meliponini;Partamona;NA;Partamona aequatoriana;proboscisLength;3,129
331;K-0654;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,922
332;K-0654;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,371
333;K-0655;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,901
334;K-0655;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,452
335;K-0656;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,882
336;K-0656;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,409
337;K-0657;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,89
338;K-0657;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,4
339;K-0685;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,268
340;K-0685;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,446
341;K-0686;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,251
342;K-0686;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,47
343;K-0687;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,233
344;K-0687;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,472
345;K-0688;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,297
346;K-0688;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,551
347;K-0689;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,3
348;K-0689;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,409
349;K-0690;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,363
350;K-0690;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,604
351;K-0693;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,123
352;K-0693;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,24
353;K-0694;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,173
354;K-0694;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,291
355;K-0695;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,198
356;K-0695;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,294
357;K-0696;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,157
358;K-0696;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,338
359;K-0697;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,17
360;K-0697;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,33
361;K-0698;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,15
362;K-0698;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,292
363;K-0745;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,517
364;K-0745;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,125
365;K-0746;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,475
366;K-0746;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,238
367;K-0747;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,381
368;K-0747;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;2,898
369;K-0748;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,558
370;K-0748;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;2,054
371;K-0749;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;intertegularDistance;1,88
372;K-0749;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;proboscisLength;3,434
373;K-0750;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;intertegularDistance;1,923
374;K-0750;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;proboscisLength;3,249
375;K-0751;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,364
376;K-0751;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,645
377;K-0752;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,351
378;K-0752;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,694
379;K-0757;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,127
380;K-0757;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,329
381;K-0758;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,164
382;K-0758;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,321
383;K-0759;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,162
384;K-0759;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,261
385;K-0760;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;intertegularDistance;1,204
386;K-0760;Apidae;Meliponini;Tetragona;NA;Tetragona ziegleri;proboscisLength;1,27
387;K-0772;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;intertegularDistance;1,242
388;K-0772;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;proboscisLength;2,431
389;K-2096;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;intertegularDistance;0,791
390;K-2096;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf atomaria;proboscisLength;1,072
391;K-0788;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,852
392;K-0788;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;0,907
393;K-0789;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,787
394;K-0789;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;1,125
395;K-0810;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,117
396;K-0810;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,817
397;K-0821;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,097
398;K-0821;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,84
399;K-0822;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,064
400;K-0822;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,914
401;K-0832;Apidae;Meliponini;Trigona;NA;Trigona recursa;intertegularDistance;1,412
402;K-0832;Apidae;Meliponini;Trigona;NA;Trigona recursa;proboscisLength;2,094
403;K-0833;Apidae;Meliponini;Trigona;NA;Trigona recursa;intertegularDistance;1,414
404;K-0833;Apidae;Meliponini;Trigona;NA;Trigona recursa;proboscisLength;2,127
405;K-0834;Apidae;Meliponini;Trigona;NA;Trigona recursa;intertegularDistance;1,372
406;K-0834;Apidae;Meliponini;Trigona;NA;Trigona recursa;proboscisLength;2,033
407;K-0836;Apidae;Meliponini;Trigona;NA;Trigona cilipes;intertegularDistance;1,355
408;K-0836;Apidae;Meliponini;Trigona;NA;Trigona cilipes;proboscisLength;2,465
409;K-0856;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,994
410;K-0856;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,334
411;K-0857;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,222
412;K-0857;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,335
413;K-0858;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,195
414;K-0858;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,408
415;K-0865;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;intertegularDistance;1,26
416;K-0865;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;proboscisLength;1,957
417;K-0866;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona postica 'group b';intertegularDistance;1,658
418;K-0866;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona postica 'group b';proboscisLength;2,95
419;K-0870;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;intertegularDistance;1,22
420;K-0870;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;proboscisLength;1,921
421;K-0880;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;intertegularDistance;1,432
422;K-0880;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;proboscisLength;1,688
423;K-0881;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;intertegularDistance;1,465
424;K-0881;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;proboscisLength;1,591
425;K-0882;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,398
426;K-0882;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;1,838
427;K-0884;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,906
428;K-0884;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,432
429;K-0885;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;1,012
430;K-0885;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,238
431;K-0886;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,994
432;K-0886;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,224
433;K-0887;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,981
434;K-0887;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,347
435;K-0888;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,989
436;K-0888;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,364
437;K-0889;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,973
438;K-0889;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,193
439;K-0890;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,985
440;K-0890;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,277
441;K-0891;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,955
442;K-0891;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,421
443;K-0892;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;intertegularDistance;0,972
444;K-0892;Apidae;Meliponini;Plebeia;NA;Plebeia (Nanoplebeia) minima;proboscisLength;1,213
445;K-0914;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,142
446;K-0914;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,493
447;K-0915;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,141
448;K-0915;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,489
449;K-0921;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;intertegularDistance;1,328
450;K-0921;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;proboscisLength;2,515
451;K-0922;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;intertegularDistance;1,265
452;K-0922;Apidae;Meliponini;Paratrigona;NA;Paratrigona lophocoryphe;proboscisLength;2,515
453;K-0924;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;intertegularDistance;1,124
454;K-0924;Apidae;Meliponini;Plebeia;NA;Plebeia sp1;proboscisLength;1,673
455;K-0937;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;1,974
456;K-0937;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,942
457;K-0938;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,078
458;K-0938;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,798
459;K-0939;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,041
460;K-0939;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;3,225
461;K-0940;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;intertegularDistance;2,061
462;K-0940;Apidae;Meliponini;Trigona;NA;Trigona silvestriana;proboscisLength;2,813
463;K-0942;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,536
464;K-0942;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,182
465;K-0943;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,467
466;K-0943;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,068
467;K-0944;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,448
468;K-0944;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,202
469;K-0076;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);intertegularDistance;1,227
470;K-0076;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);proboscisLength;2,719
471;K-0210;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);intertegularDistance;1,352
472;K-0210;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);proboscisLength;2,828
473;K-0220;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;intertegularDistance;0,966
474;K-0220;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;proboscisLength;0,982
475;K-0221;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;intertegularDistance;0,891
476;K-0221;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;proboscisLength;1,013
477;K-0330;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;intertegularDistance;0,953
478;K-0330;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;proboscisLength;1,081
479;K-0725;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;intertegularDistance;0,919
480;K-0725;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;proboscisLength;1,01
481;K-0730;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;intertegularDistance;0,963
482;K-0730;Halictidae;Augochlorini;Corynura;NA;Corynura (Corynura) sp2;proboscisLength;1,081
483;K-0211;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp4;intertegularDistance;1,086
484;K-0211;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp4;proboscisLength;1,823
485;K-0919;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp8;intertegularDistance;1,171
486;K-0919;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp8;proboscisLength;1,509
487;K-0077;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);intertegularDistance;1,266
488;K-0077;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp9 / (Oxystoglossella);proboscisLength;2,304
489;K-0203;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,778
490;K-0203;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,34
491;K-0204;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,853
492;K-0204;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,378
493;K-0205;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,813
494;K-0205;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,333
495;K-0206;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,861
496;K-0206;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,249
497;K-0207;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,84
498;K-0207;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,337
499;K-0208;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,853
500;K-0208;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,41
501;K-0209;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,886
502;K-0209;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,386
503;K-0728;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;intertegularDistance;0,874
504;K-0728;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp11;proboscisLength;1,33
505;K-0917;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp15;intertegularDistance;1,297
506;K-0917;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp15;proboscisLength;1,904
507;K-0918;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp15;intertegularDistance;1,265
508;K-0918;Halictidae;Augochlorini;Augochlora;NA;Augochlora sp15;proboscisLength;2,164
509;K-0706;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;intertegularDistance;0,934
510;K-0706;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;proboscisLength;1,423
511;K-0707;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;intertegularDistance;0,872
512;K-0707;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;proboscisLength;1,447
513;K-0708;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;intertegularDistance;0,978
514;K-0708;Halictidae;Augochlorini;Augochlorella;NA;Augochlorella sp1;proboscisLength;1,425
515;K-0200;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;intertegularDistance;1,405
516;K-0200;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;proboscisLength;1,62
517;K-0683;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;intertegularDistance;1,186
518;K-0683;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;proboscisLength;1,718
519;K-0684;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;intertegularDistance;1,308
520;K-0684;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp1;proboscisLength;1,541
521;K-0312;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,499
522;K-0312;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,772
523;K-0676;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,749
524;K-0676;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,928
525;K-0677;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,607
526;K-0677;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,755
527;K-0678;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,474
528;K-0678;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,74
529;K-0679;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,485
530;K-0679;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,824
531;K-0680;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;intertegularDistance;1,506
532;K-0680;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp2;proboscisLength;1,854
533;K-0717;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;intertegularDistance;1,476
534;K-0717;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;proboscisLength;1,713
535;K-0812;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;intertegularDistance;1,572
536;K-0812;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;proboscisLength;1,874
537;K-0920;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;intertegularDistance;1,397
538;K-0920;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp3;proboscisLength;2,332
539;K-0714;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;intertegularDistance;1,632
540;K-0714;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;proboscisLength;2,064
541;K-0720;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;intertegularDistance;1,654
542;K-0720;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;proboscisLength;2,097
543;K-0721;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;intertegularDistance;1,706
544;K-0721;Halictidae;Augochlorini;Augochloropsis;NA;Augochloropsis sp5;proboscisLength;1,993
