Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG42;Canopy;A-0243;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;proboscisLength;1,193;mm;
;OG42;Canopy;A-0243;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;prementumLength;0,592;mm;
;OG42;Canopy;A-0243;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;glossaLength;0,601;mm;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;weight;0,0022;g;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;wingLength;2,883;mm;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;intertegularDistance;0,966;mm;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;proboscisLength;1,29;mm;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;prementumLength;0,601;mm;
;OG42;Canopy;A-0244;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;glossaLength;0,689;mm;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;weight;0,0018;g;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;wingLength;3,033;mm;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;intertegularDistance;0,916;mm;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;proboscisLength;1,212;mm;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;prementumLength;0,595;mm;
;OG42;Canopy;A-0245;Apidae: Apinae: Meliponini;Dolichotrigona;Dolichotrigona schulthessi;MEL-26;glossaLength;0,617;mm;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;weight;0,0169;g;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;wingLength;5,882;mm;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;intertegularDistance;1,612;mm;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;proboscisLength;3,574;mm;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;prementumLength;1,216;mm;
;OG38;Understory;A-0425;Apidae: Apinae: Meliponini;Partamona;Partamona aequatoriana;MEL-06;glossaLength;2,358;mm;
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0207;g;
