individual;Group;species;subgenus;trait;value
J-0989;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;proboscisLength;19,26
J-1143;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;proboscisLength;19,91
M-0019;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;4
M-0020;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;4,1
M-0041;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,9
M-0042;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,8
M-0043;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,6
M-0044;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,9
M-0045;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,9
M-0690;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,5
M-C-2048;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;4
M-0739;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,9
M-0904;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,8
M-1344;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;intertegularDistance;3,9
M-0019;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;29,5
M-0020;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;30
M-0041;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;27,7
M-0042;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;28,3
M-0043;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;29,5
M-0044;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;33,7
M-0045;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;29,8
J-0975;Apidae: Apinae: Euglossini;Aglae caerulea;NA;intertegularDistance;4,29
M-0690;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;32,4
M-C-2048;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;32,3
M-0739;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;28,58
M-0904;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;28,7
M-1344;Apidae: Apinae: Euglossini;Euglossa asarophora;Glossura;proboscisLength;29,21
J-0257;Apidae: Apinae: Euglossini;Euglossa bursigera;Glossurella;intertegularDistance;2,89
J-0901;Apidae: Apinae: Euglossini;Euglossa bursigera;Glossurella;intertegularDistance;2,98
J-0901;Apidae: Apinae: Euglossini;Euglossa bursigera;Glossurella;proboscisLength;15,04
J-1137;Apidae: Apinae: Euglossini;Eufriesea pulchra;NA;intertegularDistance;5,14
M-C-2148;Apidae: Apinae: Euglossini;Euglossa bursigera;Glossurella;intertegularDistance;3
M-C-2148;Apidae: Apinae: Euglossini;Euglossa bursigera;Glossurella;proboscisLength;9,8
M-0756;Apidae: Apinae: Euglossini;Euglossa cf. maculilabris;Euglossa;intertegularDistance;2,8
M-0756;Apidae: Apinae: Euglossini;Euglossa cf. maculilabris;Euglossa;proboscisLength;12,7
J-1154;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,58
J-1165;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,24
J-1165;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;24,03
M-1584;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,9
B1264;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,84
B1265;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,6
B1266;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,55
B1267;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,66
B1268;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,63
B1269;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,4
B1270;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,7
B1271;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,8
B1272;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;intertegularDistance;3,6
M-1584;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;23,9
B1264;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;19,6
B1265;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;20,25
B1266;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;19,42
B1267;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;20,7
B1268;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;17,7
B1269;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;20,5
B1270;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;19,1
B1271;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;18,4
B1272;Apidae: Apinae: Euglossini;Euglossa chalybeata;Glossura;proboscisLength;18,6
J-0417;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,24
J-0418;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;2,87
J-1198;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,13
M-1341;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,4
M-1342;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,4
M-1343;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,4
M-1867;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,6
M-0916;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,2
M-0951;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,5
M-1582;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,5
M-1866;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,5
M-0408;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,4
M-0409;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;intertegularDistance;3,7
J-1626;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,44
M-1341;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;12,1
M-1342;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;11,9
