individual;Group;species;subgenus;trait;value
M-0578;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;5,6
M-0579;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6,1
M-0580;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6
M-0581;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6
M-0251;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;7,5
M-0634;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;7,6
M-0605;Apidae: Apinae: Euglossini;Eufriesea pulchra;NA;intertegularDistance;5,2
M-1001;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;7,8
M-0644;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,8
M-0645;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7
M-0646;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-0647;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0684;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-0685;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,2
M-0686;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
M-1245;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;6,2
M-0713;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,9
M-C-2134;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;8
M-C-2242;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;7,8
M-C-2356;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;8
J-0852;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;10,34
J-0853;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;10,6
J-1862;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;11,99
M-0111;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3,1
M-0143;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3
M-0144;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3
M-1335;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;2,8
M-0796;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;intertegularDistance;6
M-0797;Apidae: Apinae: Euglossini;Eulaema leucopyga;NA;intertegularDistance;5,9
M-0814;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;4,6
B1378;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;2,9
M-1504;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3
M-1260;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;2,7
M-1265;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;2,9
M-1267;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3
M-1574;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;intertegularDistance;3,1
M-0111;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;9,7
M-0143;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;9,5
M-0144;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;11
M-1335;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;12,4
B1378;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;8,9
M-1504;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;7,8
M-0981;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-1019;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,2
M-1260;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;7
M-1265;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;7,6
M-1267;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;6,3
M-1574;Apidae: Apinae: Euglossini;Euglossa dodsoni;Glossurella;proboscisLength;8
J-0711;Apidae: Apinae: Euglossini;Euglossa dressleri;NA;intertegularDistance;2,88
J-0158;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
J-0159;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,89
M-1155;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
J-0167;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,1
J-0404;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,68
M-1184;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
J-1873;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;2,9
M-1295;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,7
M-1297;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0025;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,3
M-0026;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,6
M-0027;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-0028;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,3
M-0029;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-0030;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-1426;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4
M-1427;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-1428;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-1429;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-1430;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
M-1431;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-1432;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6
M-1433;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6
M-1434;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,1
M-1445;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,3
M-1454;Apidae: Apinae: Euglossini;Eulaema leucopyga;NA;intertegularDistance;5,9
M-1461;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0101;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-1488;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,4
M-1489;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,7
M-0102;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,6
M-0103;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,7
M-0104;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-0105;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,3
M-0106;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-0107;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,6
M-0121;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-0125;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,6
M-0726;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,2
M-0727;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,2
M-1595;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,8
M-1596;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
M-1597;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,9
M-1598;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,9
M-1599;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,5
M-1600;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,5
M-1601;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;intertegularDistance;4,8
M-0728;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-0729;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-0730;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-0731;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,3
M-1683;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;5
M-1684;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;5
M-1685;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,7
M-1686;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,9
M-1687;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,9
M-1688;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,8
M-1689;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
M-1690;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,8
M-1691;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,7
M-1692;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,5
M-0732;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,5
M-C-2059;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;intertegularDistance;3,4
M-0025;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;20,9
M-0026;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,1
M-0027;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22
M-0028;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;21,3
M-0029;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;21,9
M-1868;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
M-1875;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;intertegularDistance;4,5
M-1876;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,7
M-1877;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
M-1878;Apidae: Apinae: Euglossini;Eufriesea lucifera;NA;intertegularDistance;5
M-1879;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
M-0030;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,6
M-C-1922;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;intertegularDistance;4,1
M-C-1923;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;intertegularDistance;4,1
M-0101;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;23,4
M-0102;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;23,5
M-0103;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;25,4
M-0104;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,1
M-2079;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,1
M-C-2458;Apidae: Apinae: Euglossini;Eufriesea flaviventris;NA;intertegularDistance;4,57
B1386;Apidae: Apinae: Euglossini;Eufriesea purpurata;NA;intertegularDistance;4,28
B1164;Apidae: Apinae: Euglossini;Eufriesea rufocaudata;NA;intertegularDistance;4,58
M-0105;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,1
M-0106;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;23,1
M-0107;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,1
M-0121;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;21,6
M-0125;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;23,3
M-0726;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,8
M-0727;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,5
M-0728;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,7
M-0729;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,4
M-0730;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;23,5
M-0731;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;22,1
M-0732;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,1
M-C-2059;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,5
J-0158;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;29,13
J-0159;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;27,13
J-0167;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;24,43
J-0407;Apidae: Apinae: Euglossini;Euglossa flammea;Glossura;proboscisLength;32,48
M-1495;Apidae: Apinae: Euglossini;Euglossa gaianii;Euglossa;intertegularDistance;3,5
M-C-2362;Apidae: Apinae: Euglossini;Euglossa gaianii;Euglossa;intertegularDistance;3,5
M-1495;Apidae: Apinae: Euglossini;Euglossa gaianii;Euglossa;proboscisLength;7,9
M-C-2362;Apidae: Apinae: Euglossini;Euglossa gaianii;Euglossa;proboscisLength;7,4
M-0015;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,2
M-1114;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;2,7
M-1115;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;2,9
M-1116;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;2,7
M-1708;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,3
M-0180;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,2
M-0569;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,3
M-1244;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,5
M-1270;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,1
M-1159;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;intertegularDistance;3,1
M-0015;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;10,8
M-1114;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;12,2
M-1115;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;11,9
M-1116;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;11,3
M-1708;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;11,1
M-0180;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;7,7
M-0569;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;6,8
M-1244;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;6,5
M-1270;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;7,9
M-1159;Apidae: Apinae: Euglossini;Euglossa gibbosa;Euglossa;proboscisLength;8,6
J-0291;Apidae: Apinae: Euglossini;Euglossa gibossa;Euglossa;intertegularDistance;2,54
J-0008;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,72
J-0023;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,75
J-0106;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,76
J-0239;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,54
J-0521;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,85
J-0737;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,68
J-0738;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,59
J-0739;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,67
J-1145;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,65
J-1148;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,69
J-1149;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;3,33
J-1185;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,78
J-1194;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,42
J-1246;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,93
J-1269;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,83
J-1615;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,51
M-1334;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;2,6
B1045;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;intertegularDistance;3
M-1334;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,2
B1045;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;12,7
J-0023;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;13,05
J-0239;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;15,05
J-0521;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;13,75
J-0738;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,22
J-0739;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;15,39
J-1145;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,03
J-1148;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;18,36
J-1149;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,3
J-1185;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,53
J-1246;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,91
J-1269;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;14,45
J-1615;Apidae: Apinae: Euglossini;Euglossa gorgonensis;Glossurella;proboscisLength;13,81
J-0109;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,04
J-0214;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,1
J-0955;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;2,98
M-0092;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,2
M-0127;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3
M-0550;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3
M-1240;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,2
M-1704;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,2
M-1705;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,4
M-1716;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,4
M-1717;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,3
M-1718;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,4
M-1719;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;intertegularDistance;3,4
M-0092;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;9,6
M-0127;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;9,7
M-0550;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;9,2
M-1240;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;7
M-1704;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;7,1
M-1705;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;7,7
M-1716;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;7,7
M-1717;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;6,8
M-1718;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;6,8
M-1719;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;7,4
J-0109;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;11,11
J-0214;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;10,09
J-0955;Apidae: Apinae: Euglossini;Euglossa hansoni;Euglossa;proboscisLength;14
J-0047;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;intertegularDistance;2,92
M-0113;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;intertegularDistance;3,1
M-1272;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;intertegularDistance;3,2
B1163;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;intertegularDistance;3,3
M-0113;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;proboscisLength;9,6
M-1272;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;proboscisLength;7,6
B1163;Apidae: Apinae: Euglossini;Euglossa hemichlora;Euglossa;proboscisLength;5,8
J-0350a;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,01
J-0388;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,9
J-0529;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,78
J-0786;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,85
J-1044;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,5
J-1515;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,31
M-0957;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,9
M-0958;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;2,6
M-C-1942;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,1
M-C-2052;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,3
M-1144;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,2
M-1124;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,4
B1325;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,2
B1326;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,3
M-C-2053;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,2
M-C-2054;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;intertegularDistance;3,2
M-0957;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;8,8
M-0958;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;7,3
M-C-1942;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;5,8
M-C-2052;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;6,3
M-1144;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;6,1
M-1124;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;5,8
B1325;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;7
B1326;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;7,4
M-C-2053;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;8,6
M-C-2054;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;6,8
J-0350a;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;8,69
J-0388;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;13,54
J-0529;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;13,54
J-0786;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;10,47
J-1044;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;9,86
J-1515;Apidae: Apinae: Euglossini;Euglossa heterosticta;Euglossa;proboscisLength;10,38
M-0498;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7,1
M-0986;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,8
M-0987;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,9
M-0988;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7
M-0989;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7
M-0661;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6,1
M-0984;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6
M-1329;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6,2
M-1330;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;6,2
M-0466;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,2
M-1152;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;intertegularDistance;5,5
M-1693;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;intertegularDistance;6
M-0001;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;24,7
M-0002;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;22,3
M-0003;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;27,6
M-0004;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,2
M-0005;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21,8
